period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription
2024-05,MI,Michigan,2,IPP Non-CHP,NGO,natural gas & other gases
2024-05,LA,Louisiana,2,IPP Non-CHP,NGO,natural gas & other gases
2024-05,LA,Louisiana,2,IPP Non-CHP,NG,natural gas
2024-05,LA,Louisiana,2,IPP Non-CHP,HYC,conventional hydroelectric
2024-05,NJ,New Jersey,2,IPP Non-CHP,OBW,biomass
2024-05,NJ,New Jersey,2,IPP Non-CHP,NUC,nuclear
2024-05,NJ,New Jersey,2,IPP Non-CHP,NGO,natural gas & other gases
2024-05,NJ,New Jersey,2,IPP Non-CHP,NG,natural gas
2024-05,NJ,New Jersey,2,IPP Non-CHP,MSB,biogenic municipal solid waste
2024-05,NJ,New Jersey,2,IPP Non-CHP,MLG,municiapl landfill gas
2024-05,NJ,New Jersey,2,IPP Non-CHP,LFG,landfill gas
2024-05,NJ,New Jersey,2,IPP Non-CHP,HYC,conventional hydroelectric
2024-05,NJ,New Jersey,2,IPP Non-CHP,HPS,hydro-electric pumped storage
2024-05,NJ,New Jersey,2,IPP Non-CHP,FOS,fossil fuels
2024-05,NJ,New Jersey,2,IPP Non-CHP,DFO,distillate fuel oil
2024-05,NJ,New Jersey,2,IPP Non-CHP,COW,all coal products
2024-05,NJ,New Jersey,2,IPP Non-CHP,COL,"coal, excluding waste coal"
2024-05,NJ,New Jersey,2,IPP Non-CHP,BIT,bituminous coal
2024-05,NJ,New Jersey,2,IPP Non-CHP,BIS,bituminous coal and synthetic coal
2024-05,NJ,New Jersey,2,IPP Non-CHP,BIO,biomass
2024-05,LA,Louisiana,99,All Sectors,ALL,all fuels
2024-05,LA,Louisiana,98,Electric Power,WAS,renewable waste products
2024-05,LA,Louisiana,98,Electric Power,SUN,solar
2024-05,LA,Louisiana,98,Electric Power,SUB,subbituminous coal
2024-05,LA,Louisiana,98,Electric Power,SPV,solar photovoltaic
2024-05,LA,Louisiana,98,Electric Power,RFO,residual fuel oil
2024-05,LA,Louisiana,98,Electric Power,REN,renewable
2024-05,LA,Louisiana,98,Electric Power,RC,refined coal
2024-05,LA,Louisiana,98,Electric Power,PET,petroleum
2024-05,LA,Louisiana,98,Electric Power,PEL,petroleum liquids
2024-05,LA,Louisiana,98,Electric Power,PC,petroleum coke
2024-05,LA,Louisiana,98,Electric Power,OTH,other
2024-05,LA,Louisiana,98,Electric Power,ORW,other renewables
2024-05,FL,Florida,90,Electric Power Sector Non-CHP,BIT,bituminous coal
2024-05,FL,Florida,90,Electric Power Sector Non-CHP,BIS,bituminous coal and synthetic coal
2024-05,DE,Delaware,97,All Industrial,TSN,estimated total solar
2024-05,DE,Delaware,97,All Industrial,TPV,estimated total solar photovoltaic
2024-05,DE,Delaware,97,All Industrial,SUN,solar
2024-05,DE,Delaware,97,All Industrial,SPV,solar photovoltaic
2024-05,DE,Delaware,97,All Industrial,REN,renewable
2024-05,DE,Delaware,97,All Industrial,PET,petroleum
2024-05,DE,Delaware,97,All Industrial,PC,petroleum coke
2024-05,DE,Delaware,97,All Industrial,OOG,other gases
2024-05,DE,Delaware,97,All Industrial,NGO,natural gas & other gases
2024-05,DE,Delaware,97,All Industrial,NG,natural gas
2024-05,DE,Delaware,97,All Industrial,MLG,municiapl landfill gas
2024-05,DE,Delaware,97,All Industrial,LFG,landfill gas
2024-05,DE,Delaware,97,All Industrial,FOS,fossil fuels
2024-05,DE,Delaware,97,All Industrial,DPV,estimated small scale solar photovoltaic
2024-05,DE,Delaware,97,All Industrial,BIO,biomass
2024-05,DE,Delaware,97,All Industrial,AOR,all renewables
2024-05,DE,Delaware,97,All Industrial,ALL,all fuels
2024-05,ME,Maine,2,IPP Non-CHP,BIO,biomass
2024-05,ME,Maine,2,IPP Non-CHP,AOR,all renewables
2024-05,ME,Maine,2,IPP Non-CHP,ALL,all fuels
2024-05,ME,Maine,1,Electric Utility,TSN,estimated total solar
2024-05,ME,Maine,1,Electric Utility,TPV,estimated total solar photovoltaic
2024-05,ME,Maine,1,Electric Utility,REN,renewable
2024-05,ME,Maine,1,Electric Utility,HYC,conventional hydroelectric
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,MSB,biogenic municipal solid waste
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,MLG,municiapl landfill gas
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,LFG,landfill gas
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,FOS,fossil fuels
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,DFO,distillate fuel oil
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,COW,all coal products
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,COL,"coal, excluding waste coal"
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,BIT,bituminous coal
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,BIS,bituminous coal and synthetic coal
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,BIO,biomass
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,AOR,all renewables
2024-05,NH,New Hampshire,90,Electric Power Sector Non-CHP,ALL,all fuels
2024-05,NH,New Hampshire,8,Residential,TSN,estimated total solar
2024-05,NH,New Hampshire,8,Residential,TPV,estimated total solar photovoltaic
2024-05,NV,Nevada,2,IPP Non-CHP,PET,petroleum
2024-05,NV,Nevada,2,IPP Non-CHP,PEL,petroleum liquids
2024-05,NV,Nevada,2,IPP Non-CHP,OTH,other
2024-05,NV,Nevada,2,IPP Non-CHP,NGO,natural gas & other gases
2024-05,NV,Nevada,2,IPP Non-CHP,NG,natural gas
2024-05,NV,Nevada,2,IPP Non-CHP,MLG,municiapl landfill gas
2024-05,NV,Nevada,2,IPP Non-CHP,LFG,landfill gas
2024-05,NV,Nevada,2,IPP Non-CHP,HYC,conventional hydroelectric
2024-05,NV,Nevada,2,IPP Non-CHP,GEO,geothermal
2024-05,NV,Nevada,2,IPP Non-CHP,FOS,fossil fuels
2024-05,NV,Nevada,2,IPP Non-CHP,DFO,distillate fuel oil
2024-05,NV,Nevada,2,IPP Non-CHP,COW,all coal products
2024-05,NV,Nevada,2,IPP Non-CHP,COL,"coal, excluding waste coal"
2024-05,NV,Nevada,2,IPP Non-CHP,BIO,biomass
2024-05,NV,Nevada,2,IPP Non-CHP,AOR,all renewables
2024-05,NV,Nevada,2,IPP Non-CHP,ALL,all fuels
2024-05,NV,Nevada,1,Electric Utility,TSN,estimated total solar
2024-05,FL,Florida,98,Electric Power,SUB,subbituminous coal
2024-05,FL,Florida,98,Electric Power,STH,solar thermal
2024-05,FL,Florida,98,Electric Power,SPV,solar photovoltaic
2024-05,FL,Florida,98,Electric Power,RFO,residual fuel oil
2024-05,FL,Florida,98,Electric Power,REN,renewable
2024-05,FL,Florida,98,Electric Power,PET,petroleum
2024-05,FL,Florida,98,Electric Power,PEL,petroleum liquids
2024-05,FL,Florida,98,Electric Power,PC,petroleum coke
2024-05,LA,Louisiana,2,IPP Non-CHP,FOS,fossil fuels
2024-05,LA,Louisiana,2,IPP Non-CHP,COW,all coal products
2024-05,LA,Louisiana,2,IPP Non-CHP,COL,"coal, excluding waste coal"
2024-05,LA,Louisiana,2,IPP Non-CHP,BIO,biomass
2024-05,LA,Louisiana,2,IPP Non-CHP,AOR,all renewables
2024-05,LA,Louisiana,2,IPP Non-CHP,ALL,all fuels
2024-05,LA,Louisiana,1,Electric Utility,TSN,estimated total solar
2024-05,LA,Louisiana,1,Electric Utility,TPV,estimated total solar photovoltaic
2024-05,LA,Louisiana,1,Electric Utility,SUN,solar
2024-05,LA,Louisiana,1,Electric Utility,SUB,subbituminous coal
2024-05,LA,Louisiana,1,Electric Utility,SPV,solar photovoltaic
2024-05,LA,Louisiana,1,Electric Utility,RFO,residual fuel oil
2024-05,LA,Louisiana,1,Electric Utility,REN,renewable
2024-05,LA,Louisiana,1,Electric Utility,PET,petroleum
2024-05,LA,Louisiana,1,Electric Utility,PEL,petroleum liquids
2024-05,LA,Louisiana,1,Electric Utility,PC,petroleum coke
2024-05,NJ,New Jersey,2,IPP Non-CHP,AOR,all renewables
2024-05,NJ,New Jersey,2,IPP Non-CHP,ALL,all fuels
2024-05,NJ,New Jersey,1,Electric Utility,TSN,estimated total solar
2024-05,NJ,New Jersey,1,Electric Utility,TPV,estimated total solar photovoltaic
2024-05,NJ,New Jersey,1,Electric Utility,SUN,solar
2024-05,NJ,New Jersey,1,Electric Utility,SPV,solar photovoltaic
2024-05,NJ,New Jersey,1,Electric Utility,RFO,residual fuel oil
2024-05,NJ,New Jersey,1,Electric Utility,REN,renewable
2024-05,NJ,New Jersey,1,Electric Utility,PET,petroleum
2024-05,NJ,New Jersey,1,Electric Utility,PEL,petroleum liquids
2024-05,NJ,New Jersey,1,Electric Utility,OTH,other
2024-05,NJ,New Jersey,1,Electric Utility,NGO,natural gas & other gases
2024-05,NJ,New Jersey,1,Electric Utility,NG,natural gas
2024-05,FL,Florida,90,Electric Power Sector Non-CHP,BIO,biomass
2024-05,FL,Florida,90,Electric Power Sector Non-CHP,AOR,all renewables
2024-05,FL,Florida,90,Electric Power Sector Non-CHP,ALL,all fuels
2024-05,FL,Florida,8,Residential,TSN,estimated total solar
2024-05,FL,Florida,8,Residential,TPV,estimated total solar photovoltaic
2024-05,FL,Florida,8,Residential,DPV,estimated small scale solar photovoltaic
2024-05,FL,Florida,7,Industrial CHP,WWW,wood and wood wastes
2024-05,FL,Florida,7,Industrial CHP,WOO,waste oil and other oils
2024-05,FL,Florida,7,Industrial CHP,WAS,renewable waste products
2024-05,FL,Florida,7,Industrial CHP,RFO,residual fuel oil
2024-05,FL,Florida,7,Industrial CHP,REN,renewable
2024-05,FL,Florida,7,Industrial CHP,PET,petroleum
2024-05,FL,Florida,7,Industrial CHP,PEL,petroleum liquids
2024-05,FL,Florida,7,Industrial CHP,OTH,other
2024-05,FL,Florida,7,Industrial CHP,ORW,other renewables
2024-05,FL,Florida,7,Industrial CHP,OOG,other gases
2024-05,DE,Delaware,96,All Commercial,WNT,onshore wind turbine
2024-05,DE,Delaware,96,All Commercial,WND,wind
2024-05,DE,Delaware,96,All Commercial,TSN,estimated total solar
2024-05,DE,Delaware,96,All Commercial,TPV,estimated total solar photovoltaic
2024-05,DE,Delaware,96,All Commercial,SUN,solar
2024-05,DE,Delaware,96,All Commercial,SPV,solar photovoltaic
2024-05,DE,Delaware,96,All Commercial,REN,renewable
2024-05,DE,Delaware,96,All Commercial,DPV,estimated small scale solar photovoltaic
2024-05,DE,Delaware,96,All Commercial,AOR,all renewables
2024-05,DE,Delaware,96,All Commercial,ALL,all fuels
2024-05,DE,Delaware,94,Independent Power Producers,WOO,waste oil and other oils
2024-05,DE,Delaware,94,Independent Power Producers,WAS,renewable waste products
2024-05,DE,Delaware,94,Independent Power Producers,TSN,estimated total solar
2024-05,DE,Delaware,94,Independent Power Producers,TPV,estimated total solar photovoltaic
2024-05,DE,Delaware,94,Independent Power Producers,SUN,solar
2024-05,DE,Delaware,94,Independent Power Producers,SPV,solar photovoltaic
2024-05,NY,New York,5,Commercial CHP,RFO,residual fuel oil
2024-05,MA,Massachusetts,2,IPP Non-CHP,WND,wind
2024-05,MA,Massachusetts,2,IPP Non-CHP,WAS,renewable waste products
2024-05,MA,Massachusetts,2,IPP Non-CHP,SUN,solar
2024-05,MA,Massachusetts,2,IPP Non-CHP,SPV,solar photovoltaic
2024-05,MA,Massachusetts,2,IPP Non-CHP,RFO,residual fuel oil
2024-05,MA,Massachusetts,2,IPP Non-CHP,REN,renewable
2024-05,MA,Massachusetts,2,IPP Non-CHP,PET,petroleum
2024-05,MA,Massachusetts,2,IPP Non-CHP,PEL,petroleum liquids
2024-05,MA,Massachusetts,2,IPP Non-CHP,OTH,other
2024-05,MA,Massachusetts,2,IPP Non-CHP,OBW,biomass
2024-05,MA,Massachusetts,2,IPP Non-CHP,NGO,natural gas & other gases
2024-05,MA,Massachusetts,2,IPP Non-CHP,NG,natural gas
2024-05,MA,Massachusetts,2,IPP Non-CHP,MSB,biogenic municipal solid waste
2024-05,MA,Massachusetts,2,IPP Non-CHP,MLG,municiapl landfill gas
2024-05,MA,Massachusetts,2,IPP Non-CHP,LFG,landfill gas
2024-05,MA,Massachusetts,2,IPP Non-CHP,HYC,conventional hydroelectric
2024-05,MA,Massachusetts,99,All Sectors,COW,all coal products
2024-05,MA,Massachusetts,99,All Sectors,COL,"coal, excluding waste coal"
2024-05,MA,Massachusetts,99,All Sectors,BIT,bituminous coal
2024-05,MA,Massachusetts,99,All Sectors,BIS,bituminous coal and synthetic coal
2024-05,MA,Massachusetts,99,All Sectors,BIO,biomass
2024-05,MA,Massachusetts,99,All Sectors,AOR,all renewables
2024-05,MA,Massachusetts,99,All Sectors,ALL,all fuels
2024-05,MA,Massachusetts,98,Electric Power,WWW,wood and wood wastes
2024-05,MA,Massachusetts,98,Electric Power,WOO,waste oil and other oils
2024-05,MA,Massachusetts,98,Electric Power,WNT,onshore wind turbine
2024-05,MA,Massachusetts,98,Electric Power,WND,wind
2024-05,MA,Massachusetts,98,Electric Power,WAS,renewable waste products
2024-05,MA,Massachusetts,98,Electric Power,SUN,solar
2024-05,MA,Massachusetts,98,Electric Power,SPV,solar photovoltaic
2024-05,MA,Massachusetts,98,Electric Power,RFO,residual fuel oil
2024-05,MA,Massachusetts,98,Electric Power,REN,renewable
2024-05,NY,New York,2,IPP Non-CHP,WND,wind
2024-05,NY,New York,2,IPP Non-CHP,WAS,renewable waste products
2024-05,NY,New York,2,IPP Non-CHP,SUN,solar
2024-05,NY,New York,2,IPP Non-CHP,SUB,subbituminous coal
2024-05,NY,New York,2,IPP Non-CHP,SPV,solar photovoltaic
2024-05,NY,New York,2,IPP Non-CHP,RFO,residual fuel oil
2024-05,GA,Georgia,97,All Industrial,COL,"coal, excluding waste coal"
2024-05,AK,Alaska,96,All Commercial,TSN,estimated total solar
2024-05,AK,Alaska,96,All Commercial,TPV,estimated total solar photovoltaic
2024-05,AK,Alaska,96,All Commercial,SUB,subbituminous coal
2024-05,AK,Alaska,96,All Commercial,REN,renewable
2024-05,AK,Alaska,96,All Commercial,PET,petroleum
2024-05,AK,Alaska,96,All Commercial,PEL,petroleum liquids
2024-05,MA,Massachusetts,2,IPP Non-CHP,HPS,hydro-electric pumped storage
2024-05,MA,Massachusetts,2,IPP Non-CHP,FOS,fossil fuels
2024-05,MA,Massachusetts,2,IPP Non-CHP,DFO,distillate fuel oil
2024-05,MA,Massachusetts,2,IPP Non-CHP,BIO,biomass
2024-05,MA,Massachusetts,2,IPP Non-CHP,AOR,all renewables
2024-05,MA,Massachusetts,2,IPP Non-CHP,ALL,all fuels
2024-05,MA,Massachusetts,1,Electric Utility,WNT,onshore wind turbine
2024-05,MA,Massachusetts,1,Electric Utility,WND,wind
2024-05,MA,Massachusetts,1,Electric Utility,TSN,estimated total solar
2024-05,MA,Massachusetts,1,Electric Utility,TPV,estimated total solar photovoltaic
2024-05,MA,Massachusetts,1,Electric Utility,SUN,solar
2024-05,MA,Massachusetts,1,Electric Utility,SPV,solar photovoltaic
2024-05,MA,Massachusetts,1,Electric Utility,RFO,residual fuel oil
2024-05,MA,Massachusetts,1,Electric Utility,REN,renewable
2024-05,MA,Massachusetts,1,Electric Utility,PET,petroleum
2024-05,MA,Massachusetts,1,Electric Utility,PEL,petroleum liquids
2024-05,MA,Massachusetts,98,Electric Power,PET,petroleum
2024-05,MA,Massachusetts,98,Electric Power,PEL,petroleum liquids
2024-05,MA,Massachusetts,98,Electric Power,OTH,other
2024-05,MA,Massachusetts,98,Electric Power,OBW,biomass
2024-05,MA,Massachusetts,98,Electric Power,NGO,natural gas & other gases
2024-05,MA,Massachusetts,98,Electric Power,NG,natural gas
2024-05,MA,Massachusetts,98,Electric Power,MSB,biogenic municipal solid waste
2024-05,MA,Massachusetts,98,Electric Power,MLG,municiapl landfill gas
2024-05,MA,Massachusetts,98,Electric Power,LFG,landfill gas
2024-05,MA,Massachusetts,98,Electric Power,HYC,conventional hydroelectric
2024-05,MA,Massachusetts,98,Electric Power,HPS,hydro-electric pumped storage
2024-05,MA,Massachusetts,98,Electric Power,FOS,fossil fuels
2024-05,MA,Massachusetts,98,Electric Power,DFO,distillate fuel oil
2024-05,MA,Massachusetts,98,Electric Power,BIO,biomass
2024-05,MA,Massachusetts,98,Electric Power,AOR,all renewables
2024-05,MA,Massachusetts,98,Electric Power,ALL,all fuels
2024-05,WSC,West South Central,1,Electric Utility,BIT,bituminous coal
2024-05,WSC,West South Central,1,Electric Utility,BIS,bituminous coal and synthetic coal
2024-05,WSC,West South Central,1,Electric Utility,BIO,biomass
2024-05,WSC,West South Central,1,Electric Utility,AOR,all renewables
2024-05,WSC,West South Central,1,Electric Utility,ALL,all fuels
2024-05,ESC,East South Central,99,All Sectors,WWW,wood and wood wastes
2024-05,ESC,East South Central,99,All Sectors,WOO,waste oil and other oils
2024-05,ESC,East South Central,99,All Sectors,WOC,waste coal
2024-05,ESC,East South Central,99,All Sectors,WNT,onshore wind turbine
2024-05,ESC,East South Central,99,All Sectors,WND,wind
2024-05,ESC,East South Central,99,All Sectors,WAS,renewable waste products
2024-05,ESC,East South Central,99,All Sectors,TSN,estimated total solar
2024-05,ESC,East South Central,99,All Sectors,TPV,estimated total solar photovoltaic
2024-05,ESC,East South Central,99,All Sectors,SUN,solar
2024-05,ESC,East South Central,99,All Sectors,SUB,subbituminous coal
2024-05,90,Pacific,1,Electric Utility,BIO,biomass
2024-05,90,Pacific,1,Electric Utility,AOR,all renewables
2024-05,SAT,South Atlantic,96,All Commercial,PET,petroleum
2024-05,SAT,South Atlantic,96,All Commercial,PEL,petroleum liquids
2024-05,SAT,South Atlantic,96,All Commercial,OTH,other
2024-05,SAT,South Atlantic,96,All Commercial,ORW,other renewables
2024-05,SAT,South Atlantic,96,All Commercial,OOG,other gases
2024-05,SAT,South Atlantic,96,All Commercial,OBW,biomass
2024-05,SAT,South Atlantic,96,All Commercial,OB2,biomass
2024-05,SAT,South Atlantic,96,All Commercial,NGO,natural gas & other gases
2024-05,SAT,South Atlantic,96,All Commercial,NG,natural gas
2024-05,SAT,South Atlantic,96,All Commercial,MSB,biogenic municipal solid waste
2024-05,SAT,South Atlantic,96,All Commercial,MLG,municiapl landfill gas
2024-05,SAT,South Atlantic,96,All Commercial,LFG,landfill gas
2024-05,SAT,South Atlantic,96,All Commercial,HYC,conventional hydroelectric
2024-05,SAT,South Atlantic,96,All Commercial,FOS,fossil fuels
2024-05,SAT,South Atlantic,96,All Commercial,DPV,estimated small scale solar photovoltaic
2024-05,SD,South Dakota,90,Electric Power Sector Non-CHP,OBW,biomass
2024-05,SD,South Dakota,90,Electric Power Sector Non-CHP,OB2,biomass
2024-05,SD,South Dakota,90,Electric Power Sector Non-CHP,NGO,natural gas & other gases
2024-05,SD,South Dakota,90,Electric Power Sector Non-CHP,NG,natural gas
2024-05,SD,South Dakota,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2024-05,ESC,East South Central,98,Electric Power,ALL,all fuels
2024-05,ESC,East South Central,97,All Industrial,WWW,wood and wood wastes
2024-05,ESC,East South Central,97,All Industrial,WOO,waste oil and other oils
2024-05,ESC,East South Central,97,All Industrial,WAS,renewable waste products
2024-05,ESC,East South Central,97,All Industrial,TSN,estimated total solar
2024-05,ESC,East South Central,97,All Industrial,TPV,estimated total solar photovoltaic
2024-05,ESC,East South Central,97,All Industrial,SUN,solar
2024-05,ESC,East South Central,97,All Industrial,SPV,solar photovoltaic
2024-05,ESC,East South Central,97,All Industrial,RFO,residual fuel oil
2024-05,ESC,East South Central,97,All Industrial,REN,renewable
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,TSN,estimated total solar
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,TPV,estimated total solar photovoltaic
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,RFO,residual fuel oil
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,REN,renewable
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,PET,petroleum
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,PEL,petroleum liquids
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,ORW,other renewables
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,OOG,other gases
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,OBW,biomass
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,OB2,biomass
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,NGO,natural gas & other gases
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,NG,natural gas
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,HYC,conventional hydroelectric
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,FOS,fossil fuels
2024-05,PCN,Pacific Noncontiguous,97,All Industrial,DPV,estimated small scale solar photovoltaic
2024-05,US,U.S. Total,2,IPP Non-CHP,NG,natural gas
2024-05,US,U.S. Total,2,IPP Non-CHP,MSB,biogenic municipal solid waste
2024-05,US,U.S. Total,2,IPP Non-CHP,MLG,municiapl landfill gas
2024-05,US,U.S. Total,2,IPP Non-CHP,LIG,lignite coal
2024-05,ESC,East South Central,1,Electric Utility,PC,petroleum coke
2024-05,ESC,East South Central,1,Electric Utility,OTH,other
2024-05,ESC,East South Central,1,Electric Utility,ORW,other renewables
2024-05,ESC,East South Central,1,Electric Utility,OBW,biomass
2024-05,ESC,East South Central,1,Electric Utility,OB2,biomass
2024-05,ESC,East South Central,1,Electric Utility,NUC,nuclear
2024-05,ESC,East South Central,1,Electric Utility,NGO,natural gas & other gases
2024-05,ESC,East South Central,1,Electric Utility,NG,natural gas
2024-05,ESC,East South Central,1,Electric Utility,MLG,municiapl landfill gas
2024-05,ESC,East South Central,1,Electric Utility,LFG,landfill gas
2024-05,ESC,East South Central,1,Electric Utility,HYC,conventional hydroelectric
2024-05,PA,Pennsylvania,6,Industrial Non-CHP,REN,renewable
2024-05,PA,Pennsylvania,6,Industrial Non-CHP,PET,petroleum
2024-05,PA,Pennsylvania,6,Industrial Non-CHP,PEL,petroleum liquids
2024-05,PA,Pennsylvania,6,Industrial Non-CHP,OOG,other gases
2024-05,PA,Pennsylvania,6,Industrial Non-CHP,NGO,natural gas & other gases
2024-05,PA,Pennsylvania,6,Industrial Non-CHP,NG,natural gas
2024-05,PA,Pennsylvania,6,Industrial Non-CHP,FOS,fossil fuels
2024-05,PA,Pennsylvania,6,Industrial Non-CHP,DFO,distillate fuel oil
2024-05,PA,Pennsylvania,6,Industrial Non-CHP,AOR,all renewables
2024-05,PA,Pennsylvania,6,Industrial Non-CHP,ALL,all fuels
2024-05,PA,Pennsylvania,5,Commercial CHP,WAS,renewable waste products
2024-05,PA,Pennsylvania,5,Commercial CHP,REN,renewable
2024-05,PA,Pennsylvania,5,Commercial CHP,PET,petroleum
2024-05,PA,Pennsylvania,5,Commercial CHP,PEL,petroleum liquids
2024-05,PA,Pennsylvania,5,Commercial CHP,ORW,other renewables
2024-05,PA,Pennsylvania,5,Commercial CHP,OBW,biomass
2024-05,PA,Pennsylvania,5,Commercial CHP,OB2,biomass
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,RC,refined coal
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,PET,petroleum
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,PEL,petroleum liquids
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,OTH,other
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,OBW,biomass
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,NUC,nuclear
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,NGO,natural gas & other gases
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,NG,natural gas
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,MSB,biogenic municipal solid waste
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,MLG,municiapl landfill gas
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,LFG,landfill gas
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,HPS,hydro-electric pumped storage
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,FOS,fossil fuels
2024-05,WA,Washington,90,Electric Power Sector Non-CHP,DFO,distillate fuel oil
2024-05,NEW,New England,94,Independent Power Producers,RFO,residual fuel oil
2024-05,NEW,New England,94,Independent Power Producers,REN,renewable
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,MLG,municiapl landfill gas
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,LFG,landfill gas
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,FOS,fossil fuels
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,DFO,distillate fuel oil
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,COW,all coal products
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,COL,"coal, excluding waste coal"
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,BIT,bituminous coal
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,BIS,bituminous coal and synthetic coal
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,BIO,biomass
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,AOR,all renewables
2024-05,PA,Pennsylvania,4,Commercial Non-CHP,ALL,all fuels
2024-05,PA,Pennsylvania,3,IPP CHP,WOO,waste oil and other oils
2024-05,PA,Pennsylvania,3,IPP CHP,WOC,waste coal
2024-05,PA,Pennsylvania,3,IPP CHP,WAS,renewable waste products
2024-05,PA,Pennsylvania,3,IPP CHP,REN,renewable
2024-05,PA,Pennsylvania,3,IPP CHP,PET,petroleum
2024-05,PA,Pennsylvania,1,Electric Utility,REN,renewable
2024-05,PA,Pennsylvania,1,Electric Utility,PET,petroleum
2024-05,PA,Pennsylvania,1,Electric Utility,PEL,petroleum liquids
2024-05,PA,Pennsylvania,1,Electric Utility,NGO,natural gas & other gases
2024-05,PA,Pennsylvania,1,Electric Utility,NG,natural gas
2024-05,PA,Pennsylvania,1,Electric Utility,HYC,conventional hydroelectric
2024-05,PA,Pennsylvania,1,Electric Utility,FOS,fossil fuels
2024-05,PA,Pennsylvania,1,Electric Utility,DPV,estimated small scale solar photovoltaic
2024-05,PA,Pennsylvania,1,Electric Utility,DFO,distillate fuel oil
2024-05,PA,Pennsylvania,1,Electric Utility,COW,all coal products
2024-05,PA,Pennsylvania,1,Electric Utility,COL,"coal, excluding waste coal"
2024-05,PA,Pennsylvania,1,Electric Utility,BIT,bituminous coal
2024-05,PA,Pennsylvania,1,Electric Utility,BIS,bituminous coal and synthetic coal
2024-05,PA,Pennsylvania,1,Electric Utility,ALL,all fuels
2024-05,OR,Oregon,99,All Sectors,WWW,wood and wood wastes
2024-05,OR,Oregon,99,All Sectors,WNT,onshore wind turbine
2024-05,NEW,New England,5,Commercial CHP,ORW,other renewables
2024-05,NEW,New England,5,Commercial CHP,OBW,biomass
2024-05,NEW,New England,5,Commercial CHP,OB2,biomass
2024-05,NEW,New England,5,Commercial CHP,NGO,natural gas & other gases
2024-05,NEW,New England,5,Commercial CHP,NG,natural gas
2024-05,NEW,New England,5,Commercial CHP,MLG,municiapl landfill gas
2024-05,NEW,New England,5,Commercial CHP,LFG,landfill gas
2024-05,NEW,New England,5,Commercial CHP,HYC,conventional hydroelectric
2024-05,NEW,New England,5,Commercial CHP,FOS,fossil fuels
2024-05,NEW,New England,5,Commercial CHP,DFO,distillate fuel oil
2024-05,NEW,New England,5,Commercial CHP,BIO,biomass
2024-05,NEW,New England,5,Commercial CHP,AOR,all renewables
